country,year,pop,continent,lifeExp,gdpPercap,bornPerwom
Afghanistan,1952,8425333,Asia,28801,779.4453145,7.55
Afghanistan,1957,9240934,Asia,30332,820.8530296,7.49
Afghanistan,1962,10267083,Asia,31997,853.10071,7.45
Afghanistan,1967,11537966,Asia,34.02,836.1971382,7.45
Afghanistan,1972,13079460,Asia,36088,739.9811058,7.45
Afghanistan,1977,14880372,Asia,38438,786.11336,7.45
Afghanistan,1982,12881816,Asia,39854,978.0114388,7.45
Afghanistan,1987,13867957,Asia,40822,852.3959448,7.46
Afghanistan,1992,16317921,Asia,41674,649.3413952,7.5
Afghanistan,1997,22227415,Asia,41763,635.341351,7.64
Afghanistan,2002,25268405,Asia,42129,726.7340548,7.27
Afghanistan,2007,31889923,Asia,43828,974.5803384,6.46
Albania,1952,1282697,Europe,55.23,1601.056136,6.13
Albania,1957,1476505,Europe,59.28,1942.284244,6.53
Albania,1962,1728137,Europe,64.82,2312.888958,6.28
Albania,1967,1984060,Europe,66.22,2760.196931,5.39
Albania,1972,2263554,Europe,67.69,3313.422188,4.64
Albania,1977,2509048,Europe,68.93,3533.00391,3.97
Albania,1982,2780097,Europe,70.42,3630.880722,3.45
Albania,1987,3075321,Europe,72,3738.932735,3.16
Albania,1992,3326498,Europe,71581,2497.437901,2.83
Albania,1997,3428038,Europe,72.95,3193.054604,2.42
Albania,2002,3508512,Europe,75651,4604.211737,1.98
Albania,2007,3600523,Europe,76423,5937.029526,1.67
Algeria,1952,9279525,Africa,43077,2449.008185,7.44
Algeria,1957,10270856,Africa,45685,3013.976023,7.43
Algeria,1962,11000948,Africa,48303,2550.81688,7.61
Algeria,1967,12760499,Africa,51407,3246.991771,7.67
Algeria,1972,14760787,Africa,54518,4182.663766,7.6
Algeria,1977,17152804,Africa,58014,4910.416756,7.23
Algeria,1982,20033753,Africa,61368,5745.160213,6.43
Algeria,1987,23254956,Africa,65799,5681.358539,5.41
Algeria,1992,26298373,Africa,67744,5023.216647,4.22
Algeria,1997,29072015,Africa,69152,4797.295051,2.99
Algeria,2002,31287142,Africa,70994,5288.040382,2.4
Algeria,2007,33333216,Africa,72301,6223.367465,2.66
Angola,1952,4232095,Africa,30015,3520.610273,7.15
Angola,1957,4561361,Africa,31999,3827.940465,7.31
Angola,1962,4826015,Africa,34,4269.276742,7.56
Angola,1967,5247469,Africa,35985,5522.776375,7.61
Angola,1972,5894858,Africa,37928,5473.288005,7.61
Angola,1977,6162675,Africa,39483,3008.647355,7.59
Angola,1982,7016384,Africa,39942,2756.953672,7.44
Angola,1987,7874230,Africa,39906,2430.208311,7.35
Angola,1992,8735988,Africa,40647,2627.845685,7.13
Angola,1997,9875024,Africa,40963,2277.140884,6.79
Angola,2002,10866106,Africa,41003,2773.287312,6.57
Angola,2007,12420476,Africa,42731,4797.231267,6.37
Argentina,1952,17876956,Americas,62485,5911.315053,3.16
Argentina,1957,19610538,Americas,64399,6856.856212,3.13
Argentina,1962,21283783,Americas,65142,7133.166023,3.09
